Race,Biology,Biology: Computational and Integrative,Business and Science,Chemistry,Childhood Studies,Computer Science,Creative Writing,Criminal Justice,Data Science,English,Forensic Science,History,Liberal Studies,Mathematical Sciences,Prevention Science,Psychology,Public Administration,Public Affairs,Teacher Education,Teacher Education - Spanish
White,7,9,,1,4,,6,5,1,6,2,7,6,3,7,4,11,3,7,1
Black or African American,1,4,2,1,1,,1,5,6,2,2,2,3,1,4,4,12,5,2,1
Asian,6,6,1,1,3,5,,2,20,,1,,1,1,2,3,2,1,,
Hispanic or Latino,1,1,,,1,,,3,2,,,1,1,1,,,2,2,1,2
Blank or Other,,1,,,,1,,,3,,1,,,,,3,1,1,,
American Indian or Alaska Native,1,,,,,,,,,,,1,,,,,,,,
